RomanizedTitle,ChapterInfo,Arabic,Transliteration,Translation
Ad-Dhuhaa,"Chapter 93, The Morning Hours",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَٱلضُّحَىٰ<br>وَٱلَّيْلِ إِذَا سَجَىٰ<br>مَا وَدَّعَكَ رَبُّكَ وَمَا قَلَىٰ<br>وَلَلْءَاخِرَةُ خَيْرٌۭ لَّكَ مِنَ ٱلْأُولَىٰ<br>وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَىٰٓ<br>أَلَمْ يَجِدْكَ يَتِيمًۭا فَـَٔاوَىٰ<br>وَوَجَدَكَ ضَآلًّۭا فَهَدَىٰ<br>وَوَجَدَكَ عَآئِلًۭا فَأَغْنَىٰ<br>فَأَمَّا ٱلْيَتِيمَ فَلَا تَقْهَرْ<br>وَأَمَّا ٱلسَّآئِلَ فَلَا تَنْهَرْ<br>وَأَمَّا بِنِعْمَةِ رَبِّكَ فَحَدِّثْ,Bismillaahir Rahmaanir Raheem<br>Wad duhaa<br>Wal laili iza sajaa<br>Ma wad da'aka rabbuka wa ma qalaa<br>Walal-aakhiratu khairul laka minal-oola<br>Wa la sawfa y'uteeka rabbuka fatarda<br>Alam ya jidka yateeman fa aawaa<br>Wa wa jadaka daal lan fahada<br>Wa wa jadaka 'aa-ilan fa aghnaa<br>Fa am mal yateema fala taqhar<br>Wa am mas saa-ila fala tanhar<br>Wa amma bi ni'mati rabbika fahad dith,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. By the Glorious Morning Light,<br>2. And by the Night when it is still,-<br>3. Thy Guardian-Lord hath not forsaken thee, nor is He displeased.<br>4. And verily the Hereafter will be better for thee than the present.<br>5. And soon will thy Guardian-Lord give thee (that wherewith) thou shalt be well-pleased.<br>6. Did He not find thee an orphan and give thee shelter (and care)?<br>7. And He found thee wandering, and He gave thee guidance.<br>8. And He found thee in need, and made thee independent.<br>9. Therefore, treat not the orphan with harshness,<br>10. Nor repulse the petitioner (unheard);<br>11. But the bounty of the Lord - rehearse and proclaim!"
Ash-Sharh,"Chapter 94, The Consolation",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ أَلَمْ نَشْرَحْ لَكَ صَدْرَكَ<br>وَوَضَعْنَا عَنكَ وِزْرَكَ<br>ٱلَّذِىٓ أَنقَضَ ظَهْرَكَ<br>وَرَفَعْنَا لَكَ ذِكْرَكَ<br>فَإِنَّ مَعَ ٱلْعُسْرِ يُسْرًا<br>إِنَّ مَعَ ٱلْعُسْرِ يُسْرًۭا<br>فَإِذَا فَرَغْتَ فَٱنصَبْ<br>وَإِلَىٰ رَبِّكَ فَٱرْغَب,Bismillaahir Rahmaanir Raheem<br>Alam nashrah laka sadrak<br>Wa wa d'ana 'anka wizrak<br>Allazee anqada zahrak<br>Wa raf 'ana laka zikrak<br>Fa inna ma'al usri yusra<br>Inna ma'al 'usri yusra<br>Fa iza faragh ta fansab<br>Wa ilaa rabbika far ghab,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Have We not expanded thee thy breast?-<br>2. And removed from thee thy burden<br>3. The which did gall thy back?-<br>4. And raised high the esteem (in which) thou (art held)?<br>5. So, verily, with every difficulty, there is relief:<br>6. Verily, with every difficulty there is relief.<br>7. Therefore, when thou art free (from thine immediate task), still labour hard,<br>8. And to thy Lord turn (all) thy attention."
At-Tin,"Chapter 95, The Fig",بِّسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَٱلتِّينِ وَٱلزَّيْتُونِ<br>وَطُورِ سِينِينَ<br>وَهَٰذَا ٱلْبَلَدِ ٱلْأَمِينِ<br>لَقَدْ خَلَقْنَا ٱلْإِنسَٰنَ فِىٓ أَحْسَنِ تَقْوِيمٍۢ<br>ثُمَّ رَدَدْنَٰهُ أَسْفَلَ سَٰفِلِينَ<br>إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍۢ<br>فَمَا يُكَذِّبُكَ بَعْدُ بِٱلدِّينِ<br>أَلَيْسَ ٱللَّهُ بِأَحْكَمِ ٱلْحَٰكِمِينَ,Bismillaahir Rahmaanir Raheem<br>Wat teeni waz zaitoon<br>Wa toori sineen<br>Wa haazal balad-il ameen<br>Laqad khalaqnal insaana fee ahsani taqweem<br>Thumma ra dad naahu asfala saafileen<br>Ill-lal lazeena aamanoo wa 'amilus saalihaati; falahum ajrun ghairu mamnoon<br>Fama yu kaz zibuka b'adu bid deen<br>Alai sal laahu bi-ahkamil haakimeen,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. By the Fig and the Olive,<br>2. And the Mount of Sinai,<br>3. And this City of security,-<br>4. We have indeed created man in the best of moulds,<br>5. Then do We abase him (to be) the lowest of the low,-<br>6. Except such as believe and do righteous deeds: For they shall have a reward unfailing.<br>7. Then what can, after this, contradict thee, as to the judgment (to come)?<br>8. Is not Allah the wisest of judges?"
Al-Alaq,"Chapter 96, The Clot",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ ٱقْرَأْ بِٱسْمِ رَبِّكَ ٱلَّذِى خَلَقَ<br>خَلَقَ ٱلْإِنسَٰنَ مِنْ عَلَقٍ<br>ٱقْرَأْ وَرَبُّكَ ٱلْأَكْرَمُ<br>ٱلَّذِى عَلَّمَ بِٱلْقَلَمِ<br>عَلَّمَ ٱلْإِنسَٰنَ مَا لَمْ يَعْلَمْ<br>كَلَّآ إِنَّ ٱلْإِنسَٰنَ لَيَطْغَىٰٓ<br>أَن رَّءَاهُ ٱسْتَغْنَىٰٓ<br>إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجْعَىٰٓ<br>أَرَءَيْتَ ٱلَّذِى يَنْهَىٰ<br>عَبْدًا إِذَا صَلَّىٰٓ<br>أَرَءَيْتَ إِن كَانَ عَلَى ٱلْهُدَىٰٓ<br>أَوْ أَمَرَ بِٱلتَّقْوَىٰٓ<br>أَرَءَيْتَ إِن كَذَّبَ وَتَوَلَّىٰٓ<br>أَلَمْ يَعْلَم بِأَنَّ ٱللَّهَ يَرَىٰ<br>كَلَّا لَئِن لَّمْ يَنتَهِ لَنَسْفَعًۢا بِٱلنَّاصِيَةِ<br>نَاصِيَةٍۢ كَٰذِبَةٍ خَاطِئَةٍۢ<br>فَلْيَدْعُ نَادِيَهُۥ<br>سَنَدْعُ ٱلزَّبَانِيَةَ<br>كَلَّا لَا تُطِعْهُ وَٱسْجُدْ وَٱقْتَرِب ۩,Bismillaahir Rahmaanir Raheem<br>Iqra bismi rab bikal lazee khalaq<br>Khalaqal insaana min 'alaq<br>Iqra wa rab bukal akram<br>Al lazee 'allama bil qalam<br>'Al lamal insaana ma lam y'alam<br>Kallaa innal insaana layatghaa<br>Ar-ra aahus taghnaa<br>Innna ilaa rabbikar ruj'aa<br>Ara-aital lazee yanhaa<br>'Abdan iza sallaa<br>Ara-aita in kana 'alal hudaa<br>Au amara bit taqwaa<br>Ara-aita in kaz zaba wa ta walla<br>Alam y'alam bi-an nal lahaa yaraa<br>Kalla la illam yantahi la nasfa'am bin nasiyah<br>Nasiyatin kazi batin khaatiyah<br>Fal yad'u naadiyah<br>Sanad 'uz zabaaniyah<br>Kalla; la tuti'hu wasjud waqtarib,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Proclaim! (or read!) in the name of thy Lord and Cherisher, Who created-<br>2. Created man, out of a (mere) clot of congealed blood:<br>3. Proclaim! And thy Lord is Most Bountiful,-<br>4. He Who taught (the use of) the pen,-<br>5. Taught man that which he knew not.<br>6. Nay, but man doth transgress all bounds,<br>7. In that he looketh upon himself as self-sufficient.<br>8. Verily, to thy Lord is the return (of all).<br>9. Seest thou one who forbids-<br>10. A votary when he (turns) to pray?<br>11. Seest thou if he is on (the road of) Guidance?-<br>12. Or enjoins Righteousness?<br>13. Seest thou if he denies (Truth) and turns away?<br>14. Knoweth he not that Allah doth see?<br>15. Let him beware! If he desist not, We will drag him by the forelock,-<br>16. A lying, sinful forelock!<br>17. Then, let him call (for help) to his council (of comrades):<br>18. We will call on the angels of punishment (to deal with him)!<br>19. Nay, heed him not: But bow down in adoration, and bring thyself the closer (to Allah)!"
Al-Qadr,"Chapter 97, The Power, Fate",بِّسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ إِنَّآ أَنزَلْنَٰهُ فِى لَيْلَةِ ٱلْقَدْرِ<br>وَمَآ أَدْرَىٰكَ مَا لَيْلَةُ ٱلْقَدْرِ<br>لَيْلَةُ ٱلْقَدْرِ خَيْرٌۭ مِّنْ أَلْفِ شَهْرٍۢ<br>تَنَزَّلُ ٱلْمَلَٰٓئِكَةُ وَٱلرُّوحُ فِيهَا بِإِذْنِ رَبِّهِم مِّن كُلِّ أَمْرٍۢ<br>سَلَٰمٌ هِىَ حَتَّىٰ مَطْلَعِ ٱلْفَجْرِ,Bismillaahir Rahmaanir Raheem<br>Innaa anzalnaahu fee lailatil qadr<br>Wa maa adraaka ma lailatul qadr<br>Lailatul qadri khairum min alfee shahr<br>Tanaz zalul malaa-ikatu war roohu feeha bi izni-rab bihim min kulli amr<br>Salaamun hiya hattaa mat la'il fajr,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. We have indeed revealed this (Message) in the Night of Power:<br>2. And what will explain to thee what the night of power is?<br>3. The Night of Power is better than a thousand months.<br>4. Therein come down the angels and the Spirit by Allah's permission, on every errand:<br>5. Peace!... This until the rise of morn!"
Al-Bayyina,"Chapter 98, The Evidence",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ لَمْ يَكُنِ ٱلَّذِينَ كَفَرُوا۟ مِنْ أَهْلِ ٱلْكِتَٰبِ وَٱلْمُشْرِكِينَ مُنفَكِّينَ حَتَّىٰ تَأْتِيَهُمُ ٱلْبَيِّنَةُ<br>رَسُولٌۭ مِّنَ ٱللَّهِ يَتْلُوا۟ صُحُفًۭا مُّطَهَّرَةًۭ<br>فِيهَا كُتُبٌۭ قَيِّمَةٌۭ<br>وَمَا تَفَرَّقَ ٱلَّذِينَ أُوتُوا۟ ٱلْكِتَٰبَ إِلَّا مِنۢ بَعْدِ مَا جَآءَتْهُمُ ٱلْبَيِّنَةُ<br>وَمَآ أُمِرُوٓا۟ إِلَّا لِيَعْبُدُوا۟ ٱللَّهَ مُخْلِصِينَ لَهُ ٱلدِّينَ حُنَفَآءَ وَيُقِيمُوا۟ ٱلصَّلَوٰةَ وَيُؤْتُوا۟ ٱلزَّكَوٰةَ ۚ وَذَٰلِكَ دِينُ ٱلْقَيِّمَةِ<br>إِنَّ ٱلَّذِينَ كَفَرُوا۟ مِنْ أَهْلِ ٱلْكِتَٰبِ وَٱلْمُشْرِكِينَ فِى نَارِ جَهَنَّمَ خَٰلِدِينَ فِيهَآ ۚ أُو۟لَٰٓئِكَ هُمْ شَرُّ ٱلْبَرِيَّةِ<br>إِنَّ ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ أُو۟لَٰٓئِكَ هُمْ خَيْرُ ٱلْبَرِيَّةِ<br>جَزَآؤُهُمْ عِندَ رَبِّهِمْ جَنَّٰتُ عَدْنٍۢ تَجْرِى مِن تَحْتِهَا ٱلْأَنْهَٰرُ خَٰلِدِينَ فِيهَآ أَبَدًۭا ۖ رَّضِىَ ٱللَّهُ عَنْهُمْ وَرَضُوا۟ عَنْهُ ۚ ذَٰلِكَ لِمَنْ خَشِىَ رَبَّهُۥ,Bismillaahir Rahmaanir Raheem<br>Lam ya kunil lazeena kafaru min ahlil kitaabi wal mushri keena mun fak keena hattaa ta-tiya humul bayyinah<br>Rasoolum minal laahi yatlu suhufam mutahharah<br>Feeha kutubun qaiyimah<br>Wa maa tafarraqal lazeena ootul kitaaba il-la mim b'adi ma jaa-at humul baiyyinah<br>Wa maa umiroo il-la liy'abu dul laaha mukhliseena lahud-deena huna faa-a wa yuqeemus salaahta wa yu-tuz zakaata; wa zaalika deenul qaiyimah<br>Innal lazeena kafaru min ahlil kitaabi wal mushri keena fee nari jahan nama khaali deena feeha; ulaa-ika hum shar rul ba reeyah<br>Innal lazeena aamanu wa 'amilus saalihaati ula-ika hum khairul bareey yah<br>Jazaa-uhum inda rabbihim jan naatu 'adnin tajree min tahtihal an haaru khalideena feeha abada; radiy-yallaahu 'anhum wa ra du 'an zaalika liman khashiya rabbah.,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Those who reject (Truth), among the People of the Book and among the Polytheists, were not going to depart (from their ways) until there should come to them Clear Evidence,-<br>2. An messenger from Allah, rehearsing scriptures kept pure and holy:<br>3. Wherein are laws (or decrees) right and straight.<br>4. Nor did the People of the Book make schisms, until after there came to them Clear Evidence.<br>5. And they have been commanded no more than this: To worship Allah, offering Him sincere devotion, being true (in faith); to establish regular prayer; and to practise regular charity; and that is the Religion Right and Straight.<br>6. Those who reject (Truth), among the People of the Book and among the Polytheists, will be in Hell-Fire, to dwell therein (for aye). They are the worst of creatures.<br>7. Those who have faith and do righteous deeds,- they are the best of creatures.<br>8. Their reward is with Allah: Gardens of Eternity, beneath which rivers flow; they will dwell therein for ever; Allah well pleased with them, and they with Him: all this for such as fear their Lord and Cherisher."
Az-Zalzala,"Chapter 99, The Earthquake",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ إِذَا زُلْزِلَتِ ٱلْأَرْضُ زِلْزَالَهَا<br>وَأَخْرَجَتِ ٱلْأَرْضُ أَثْقَالَهَا<br>وَقَالَ ٱلْإِنسَٰنُ مَا لَهَا<br>يَوْمَئِذٍۢ تُحَدِّثُ أَخْبَارَهَا<br>بِأَنَّ رَبَّكَ أَوْحَىٰ لَهَا<br>يَوْمَئِذٍۢ يَصْدُرُ ٱلنَّاسُ أَشْتَاتًۭا لِّيُرَوْا۟ أَعْمَٰلَهُمْ<br>فَمَن يَعْمَلْ مِثْقَالَ ذَرَّةٍ خَيْرًۭا يَرَهُۥ<br>وَمَن يَعْمَلْ مِثْقَالَ ذَرَّةٍۢ شَرًّۭا يَرَهُۥ,Bismillaahir Rahmaanir Raheem<br>Izaa zul zilatil ardu zil zaalaha<br>Wa akh rajatil ardu athqaalaha<br>Wa qaalal insaanu ma laha<br>Yawmaa izin tuhad dithu akhbaaraha<br>Bi-anna rabbaka awhaa laha<br>Yawma iziy yas durun naasu ash tatal liyuraw a'maalahum<br>Famaiy ya'mal mithqala zarratin khai raiy-yarah<br>Wa maiy-y'amal mithqala zarratin sharraiy-yarah,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. When the earth is shaken to her (utmost) convulsion,<br>2. And the earth throws up her burdens (from within),<br>3. And man cries (distressed): 'What is the matter with her?'-<br>4. On that Day will she declare her tidings:<br>5. For that thy Lord will have given her inspiration.<br>6. On that Day will men proceed in companies sorted out, to be shown the deeds that they (had done).<br>7. Then shall anyone who has done an atom's weight of good, see it!<br>8. And anyone who has done an atom's weight of evil, shall see it."
