RomanizedTitle,ChapterInfo,Arabic,Transliteration,Translation
Al-Aadiyaat,"Chapter 100, The Chargers",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَٱلْعَٰدِيَٰتِ ضَبْحًۭا<br>فَٱلْمُورِيَٰتِ قَدْحًۭا<br>فَٱلْمُغِيرَٰتِ صُبْحًۭا<br>فَأَثَرْنَ بِهِۦ نَقْعًۭا<br>فَوَسَطْنَ بِهِۦ جَمْعًا<br>إِنَّ ٱلْإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٌۭ<br>وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٌۭ<br>وَإِنَّهُۥ لِحُبِّ ٱلْخَيْرِ لَشَدِيدٌ<br>۞ أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِى ٱلْقُبُورِ<br>وَحُصِّلَ مَا فِى ٱلصُّدُورِ<br>إِنَّ رَبَّهُم بِهِمْ يَوْمَئِذٍۢ لَّخَبِيرٌۢ,Bismillaahir Rahmaanir Raheem<br>Wal'aadi yaati dabha<br>Fal moori yaati qadha<br>Fal mugheeraati subha<br>Fa atharna bihee naq'a<br>Fawa satna bihee jam'a<br>Innal-insana lirabbihee lakanood<br>Wa innahu 'alaa zaalika la shaheed<br>Wa innahu lihubbil khairi la shadeed<br>Afala ya'lamu iza b'uthira ma filquboor<br>Wa hussila maa fis sudoor<br>Inna rabbahum bihim yauma 'izil la khabeer,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. By the (Steeds) that run, with panting (breath),<br>2. And strike sparks of fire,<br>3. And push home the charge in the morning,<br>4. And raise the dust in clouds the while,<br>5. And penetrate forthwith into the midst (of the foe) en masse;-<br>6. Truly man is, to his Lord, ungrateful;<br>7. And to that (fact) he bears witness (by his deeds);<br>8. And violent is he in his love of wealth.<br>9. Does he not know,- when that which is in the graves is scattered abroad<br>10. And that which is (locked up) in (human) breasts is made manifest-<br>11. That their Lord had been Well-acquainted with them, (even to) that Day?"
Al-Qaari'a,"Chapter 101, The Calamity",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ ٱلْقَارِعَةُ<br>مَا ٱلْقَارِعَةُ<br>وَمَآ أَدْرَىٰكَ مَا ٱلْقَارِعَةُ<br>يَوْمَ يَكُونُ ٱلنَّاسُ كَٱلْفَرَاشِ ٱلْمَبْثُوثِ<br>وَتَكُونُ ٱلْجِبَالُ كَٱلْعِهْنِ ٱلْمَنفُوشِ<br>فَأَمَّا مَن ثَقُلَتْ مَوَٰزِينُهُۥ<br>فَهُوَ فِى عِيشَةٍۢ رَّاضِيَةٍۢ<br>وَأَمَّا مَنْ خَفَّتْ مَوَٰزِينُهُۥ<br>فَأُمُّهُۥ هَاوِيَةٌۭ<br>وَمَآ أَدْرَىٰكَ مَا هِيَهْ<br>نَارٌ حَامِيَةٌۢ,Bismillaahir Rahmaanir Raheem<br>Al qaari'ah<br>Mal qaariah<br>Wa maa adraaka mal qaari'ah<br>Yauma ya koonun naasu kal farashil mabthooth<br>Wa ta koonul jibalu kal 'ihnil manfoosh<br>Fa-amma man thaqulat mawa zeenuh<br>Fahuwa fee 'ishatir raadiyah<br>Wa amma man khaffat mawa zeenuh<br>Fa-ummuhu haawiyah<br>Wa maa adraaka maa hiyah<br>Naarun hamiyah,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. The (Day) of Noise and Clamour:<br>2. What is the (Day) of Noise and Clamour?<br>3. And what will explain to thee what the (Day) of Noise and Clamour is?<br>4. (It is) a Day whereon men will be like moths scattered about,<br>5. And the mountains will be like carded wool.<br>6. Then, he whose balance (of good deeds) will be (found) heavy,<br>7. Will be in a life of good pleasure and satisfaction.<br>8. But he whose balance (of good deeds) will be (found) light,-<br>9. Will have his home in a (bottomless) Pit.<br>10. And what will explain to thee what this is?<br>11. (It is) a Fire Blazing fiercely!"
At-Takaathur,"Chapter 102, Competition",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ أَلْهَىٰكُمُ ٱلتَّكَاثُرُ<br>حَتَّىٰ زُرْتُمُ ٱلْمَقَابِرَ<br>كَلَّا سَوْفَ تَعْلَمُونَ<br>ثُمَّ كَلَّا سَوْفَ تَعْلَمُونَ<br>كَلَّا لَوْ تَعْلَمُونَ عِلْمَ ٱلْيَقِينِ<br>لَتَرَوُنَّ ٱلْجَحِيمَ<br>ثُمَّ لَتَرَوُنَّهَا عَيْنَ ٱلْيَقِينِ<br>ثُمَّ لَتُسْـَٔلُنَّ يَوْمَئِذٍ عَنِ ٱلنَّعِيمِ,Bismillaahir Rahmaanir Raheem<br>Al haaku mut takathur<br>Hatta zurtumul-maqaabir<br>Kalla sawfa ta'lamoon<br>Thumma kalla sawfa ta'lamoon<br>Kalla law ta'lamoona 'ilmal yaqeen<br>Latara-wun nal jaheem<br>Thumma latara wunnaha 'ainal yaqeen<br>Thumma latus alunna yauma-izin 'anin na'eem,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. The mutual rivalry for piling up (the good things of this world) diverts you (from the more serious things),<br>2. Until ye visit the graves.<br>3. But nay, ye soon shall know (the reality).<br>4. Again, ye soon shall know!<br>5. Nay, were ye to know with certainty of mind, (ye would beware!)<br>6. Ye shall certainly see Hell-Fire!<br>7. Again, ye shall see it with certainty of sight!<br>8. Then, shall ye be questioned that Day about the joy (ye indulged in!)."
Al-Asr,"Chapter 103, The Declining Day, Epoch",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَٱلْعَصْرِ<br>إِنَّ ٱلْإِنسَٰنَ لَفِى خُسْرٍ<br>إِلَّا ٱلَّذِينَ ءَامَنُوا۟ وَعَمِلُوا۟ ٱلصَّٰلِحَٰتِ وَتَوَاصَوْا۟ بِٱلْحَقِّ وَتَوَاصَوْا۟ بِٱلصَّبْرِ,Bismillaahir Rahmaanir Raheem<br>Wal' asr<br>Innal insaana lafee khusr<br>Il lal lazeena aamanu wa 'amilus saali haati wa tawa saw bil haqqi wa tawa saw bis sabr,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. By (the Token of) Time (through the ages),<br>2. Verily Man is in loss,<br>3. Except such as have Faith, and do righteous deeds, and (join together) in the mutual teaching of Truth, and of Patience and Constancy."
Al-Humaza,"Chapter 104, The Traducer",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ وَيْلٌۭ لِّكُلِّ هُمَزَةٍۢ لُّمَزَةٍ<br>ٱلَّذِى جَمَعَ مَالًۭا وَعَدَّدَهُۥ<br>يَحْسَبُ أَنَّ مَالَهُۥٓ أَخْلَدَهُۥ<br>كَلَّا ۖ لَيُنۢبَذَنَّ فِى ٱلْحُطَمَةِ<br>وَمَآ أَدْرَىٰكَ مَا ٱلْحُطَمَةُ<br>نَارُ ٱللَّهِ ٱلْمُوقَدَةُ<br>ٱلَّتِى تَطَّلِعُ عَلَى ٱلْأَفْـِٔدَةِ<br>إِنَّهَا عَلَيْهِم مُّؤْصَدَةٌۭ<br>فِى عَمَدٍۢ مُّمَدَّدَةٍۭ,Bismillaahir Rahmaanir Raheem<br>Wai lul-li kulli hu mazatil-lumaza<br>Al-lazi jama'a maalaw wa'addadah<br>Yahsabu anna maalahu akhladah<br>Kalla layum ba zanna fil hutamah<br>Wa maa adraaka mal-hutamah<br>Narul laahil-mooqada<br>Al latee tat tali'u 'alalafidah<br>Innaha 'alaihim moosada<br>Fee 'amadim-mu mad dadah,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Woe to every (kind of) scandal-monger and-backbiter,<br>2. Who pileth up wealth and layeth it by,<br>3. Thinking that his wealth would make him last for ever!<br>4. By no means! He will be sure to be thrown into That which Breaks to Pieces,<br>5. And what will explain to thee That which Breaks to Pieces?<br>6. (It is) the Fire of (the Wrath of) Allah kindled (to a blaze),<br>7. The which doth mount (Right) to the Hearts:<br>8. It shall be made into a vault over them,<br>9. In columns outstretched."
Al-Fil,"Chapter 105, The Elephant",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ أَلَمْ تَرَ كَيْفَ فَعَلَ رَبُّكَ بِأَصْحَٰبِ ٱلْفِيلِ<br>أَلَمْ يَجْعَلْ كَيْدَهُمْ فِى تَضْلِيلٍۢ<br>وَأَرْسَلَ عَلَيْهِمْ طَيْرًا أَبَابِيلَ<br>تَرْمِيهِم بِحِجَارَةٍۢ مِّن سِجِّيلٍۢ<br>فَجَعَلَهُمْ كَعَصْفٍۢ مَّأْكُولٍۭ,Bismillaahir Rahmaanir Raheem<br>Alam tara kaifa fa'ala rabbuka bi ashaabil feel<br>Alam yaj'al kai dahum fee tad leel<br>Wa arsala 'alaihim tairan abaabeel<br>Tar meehim bi hi jaaratim min sij jeel<br>Faja 'alahum ka'asfim m'akool,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Seest thou not how thy Lord dealt with the Companions of the Elephant?<br>2. Did He not make their treacherous plan go astray?<br>3. And He sent against them Flights of Birds,<br>4. Striking them with stones of baked clay.<br>5. Then did He make them like an empty field of stalks and straw, (of which the corn) has been eaten up."
Quraish,"Chapter 106, Quraysh",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ لِإِيلَٰفِ قُرَيْشٍ<br>إِۦلَٰفِهِمْ رِحْلَةَ ٱلشِّتَآءِ وَٱلصَّيْفِ<br>فَلْيَعْبُدُوا۟ رَبَّ هَٰذَا ٱلْبَيْتِ<br>ٱلَّذِىٓ أَطْعَمَهُم مِّن جُوعٍۢ وَءَامَنَهُم مِّنْ خَوْفٍۭ,Bismillaahir Rahmaanir Raheem<br>Li-ilaafi quraish<br>Elaafihim rihlatash shitaa-i wass saif<br>Fal y'abudu rabba haazal-bait<br>Allazi at'amahum min ju'inw-wa-aamana hum min khawf,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. For the covenants (of security and safeguard enjoyed) by the Quraish,<br>2. Their covenants (covering) journeys by winter and summer,-<br>3. Let them adore the Lord of this House,<br>4. Who provides them with food against hunger, and with security against fear (of danger)."
Al-Maa'un,"Chapter 107, Almsgiving",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ أَرَءَيْتَ ٱلَّذِى يُكَذِّبُ بِٱلدِّينِ<br>فَذَٰلِكَ ٱلَّذِى يَدُعُّ ٱلْيَتِيمَ<br>وَلَا يَحُضُّ عَلَىٰ طَعَامِ ٱلْمِسْكِينِ<br>فَوَيْلٌۭ لِّلْمُصَلِّينَ<br>ٱلَّذِينَ هُمْ عَن صَلَاتِهِمْ سَاهُونَ<br>ٱلَّذِينَ هُمْ يُرَآءُونَ<br>وَيَمْنَعُونَ ٱلْمَاعُونَ,Bismillaahir Rahmaanir Raheem<br>Ara-aital lazee yu kazzibu bid deen<br>Fa zaalikal lazi yadu'ul-yateem<br>Wa la ya huddu 'alaa ta'amil miskeen<br>Fa wai lul-lil mu salleen<br>Al lazeena hum 'an salaatihim sahoon<br>Al lazeena hum yuraa-oon<br>Wa yamna'oonal ma'oon,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Seest thou one who denies the Judgment (to come)?<br>2. Then such is the (man) who repulses the orphan (with harshness),<br>3. And encourages not the feeding of the indigent.<br>4. So woe to the worshippers<br>5. Who are neglectful of their prayers,<br>6. Those who (want but) to be seen (of men),<br>7. But refuse (to supply) (even) neighbourly needs."
Al-Kawthar,"Chapter 108, Abundance",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ إِنَّآ أَعْطَيْنَٰكَ ٱلْكَوْثَرَ<br>فَصَلِّ لِرَبِّكَ وَٱنْحَرْ<br>إِنَّ شَانِئَكَ هُوَ ٱلْأَبْتَرُ,Bismillaahir Rahmaanir Raheem<br>Innaa a'taina kal kauthar<br>Fa salli li rabbika wanhar<br>Inna shani-aka huwal abtar,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. To thee have We granted the Fount (of Abundance).<br>2. Therefore to thy Lord turn in Prayer and Sacrifice.<br>3. For he who hateth thee, he will be cut off (from Future Hope)."
Al-Kaafiroon,"Chapter 109, The Disbelievers",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ قُلْ يَٰٓأَيُّهَا ٱلْكَٰفِرُونَ<br>لَآ أَعْبُدُ مَا تَعْبُدُونَ<br>وَلَآ أَنتُمْ عَٰبِدُونَ مَآ أَعْبُدُ<br>وَلَآ أَنَا۠ عَابِدٌۭ مَّا عَبَدتُّمْ<br>وَلَآ أَنتُمْ عَٰبِدُونَ مَآ أَعْبُدُ<br>لَكُمْ دِينُكُمْ وَلِىَ دِينِ,Bismillaahir Rahmaanir Raheem<br>Qul yaa-ai yuhal kaafiroon<br>Laa a'budu ma t'abudoon<br>Wa laa antum 'aabidoona maa a'bud<br>Wa laa ana 'abidum maa 'abattum<br>Wa laa antum 'aabidoona ma a'bud<br>Lakum deenukum wa liya deen.,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Say: O ye that reject Faith!<br>2. I worship not that which ye worship,<br>3. Nor will ye worship that which I worship.<br>4. And I will not worship that which ye have been wont to worship,<br>5. Nor will ye worship that which I worship.<br>6. To you be your Way, and to me mine."
An-Nasr,"Chapter 110, Divine Support",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ إِذَا جَآءَ نَصْرُ ٱللَّهِ وَٱلْفَتْحُ<br>وَرَأَيْتَ ٱلنَّاسَ يَدْخُلُونَ فِى دِينِ ٱللَّهِ أَفْوَاجًۭا<br>فَسَبِّحْ بِحَمْدِ رَبِّكَ وَٱسْتَغْفِرْهُ ۚ إِنَّهُۥ كَانَ تَوَّابًۢا,"Bismillaahir Rahmaanir Raheem<br>Iza jaa-a nas rullahi walfath<br>Wa ra-aitan naasa yadkhuloona fee deenil laahi afwajah<br>Fa sab bih bihamdi rabbika was taghfir, innahu kaana tawwaaba","1. In the name of Allah, Most Gracious, Most Merciful.<br>2. When comes the Help of Allah, and Victory,<br>2. And thou dost see the people enter Allah's Religion in crowds,<br>3. Celebrate the praises of thy Lord, and pray for His Forgiveness: For He is Oft-Returning (in Grace and Mercy)."
Al-Masad,"Chapter 111, The Palm Fibre",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ تَبَّتْ يَدَآ أَبِى لَهَبٍۢ وَتَبَّ<br>مَآ أَغْنَىٰ عَنْهُ مَالُهُۥ وَمَا كَسَبَ<br>سَيَصْلَىٰ نَارًۭا ذَاتَ لَهَبٍۢ<br>وَٱمْرَأَتُهُۥ حَمَّالَةَ ٱلْحَطَبِ<br>فِى جِيدِهَا حَبْلٌۭ مِّن مَّسَدٍۭ,Bismillaahir Rahmaanir Raheem<br>Tab bat yadaa abee Lahabinw-wa tabb<br>Maa aghna 'anhu maaluhu wa ma kasab<br>Sa yas laa naran zaata lahab<br>Wam ra-atuh hamma latal-hatab<br>Fee jeediha hab lum mim-masad,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Perish the hands of the Father of Flame! Perish he!<br>2. No profit to him from all his wealth, and all his gains!<br>3. Burnt soon will he be in a Fire of Blazing Flame!<br>4. His wife shall carry the (crackling) wood - As fuel!-<br>5. A twisted rope of palm-leaf fibre round her (own) neck!"
Al-Ikhlaas,"Chapter 112, Sincerity",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ قُلْ هُوَ ٱللَّهُ أَحَدٌ<br>ٱللَّهُ ٱلصَّمَدُ<br>لَمْ يَلِدْ وَلَمْ يُولَدْ<br>وَلَمْ يَكُن لَّهُۥ كُفُوًا أَحَدٌۢ,Bismillaahir Rahmaanir Raheem<br>Qul huwal laahu ahad<br>Allah hus-samad<br>Lam yalid wa lam yoolad<br>Wa lam yakul-lahu kufuwan ahad,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Say: He is Allah, the One and Only;<br>2. Allah, the Eternal, Absolute;<br>3. He begetteth not, nor is He begotten;<br>4. And there is none like unto Him."
Al-Falaq,"Chapter 113, The Dawn",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ قُلْ أَعُوذُ بِرَبِّ ٱلْفَلَقِ<br>مِن شَرِّ مَا خَلَقَ<br>وَمِن شَرِّ غَاسِقٍ إِذَا وَقَبَ<br>وَمِن شَرِّ ٱلنَّفَّٰثَٰتِ فِى ٱلْعُقَدِ<br>وَمِن شَرِّ حَاسِدٍ إِذَا حَسَدَ,Bismillaahir Rahmaanir Raheem<br>Qul a'uzoo bi rabbil-falaq<br>Min sharri ma khalaq<br>Wa min sharri ghasiqin iza waqab<br>Wa min sharrin-naffaa-thaati fil 'uqad<br>Wa min shar ri haasidin iza hasad,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Say: I seek refuge with the Lord of the Dawn<br>2. From the mischief of created things;<br>3. From the mischief of Darkness as it overspreads;<br>4. From the mischief of those who practise secret arts;<br>5. And from the mischief of the envious one as he practises envy."
An-Naas,"Chapter 114, Mankind",بِسْمِ ٱللَّهِ ٱلرَّحْمَٰنِ ٱلرَّحِيمِ قُلْ أَعُوذُ بِرَبِّ ٱلنَّاسِ<br>مَلِكِ ٱلنَّاسِ<br>إِلَٰهِ ٱلنَّاسِ<br>مِن شَرِّ ٱلْوَسْوَاسِ ٱلْخَنَّاسِ<br>ٱلَّذِى يُوَسْوِسُ فِى صُدُورِ ٱلنَّاسِ<br>مِنَ ٱلْجِنَّةِ وَٱلنَّاسِ,Bismillaahir Rahmaanir Raheem<br>Qul a'uzu birabbin naas<br>Malikin naas<br>Ilaahin naas<br>Min sharril was waasil khannaas<br>Al lazee yuwas wisu fee sudoorin naas<br>Minal jinnati wan naas,"1. In the name of Allah, Most Gracious, Most Merciful.<br>2. Say: I seek refuge with the Lord and Cherisher of Mankind,<br>2. The King (or Ruler) of Mankind,<br>3. The god (or judge) of Mankind,-<br>4. From the mischief of the Whisperer (of Evil), who withdraws (after his whisper),-<br>5. (The same) who whispers into the hearts of Mankind,-<br>6. Among Jinns and among men."
